14:09:03.681801 config: drop-rate=0.00, max-delay=0s, seed=1510340943680295600
19:48:59.387826 [queue=0] packet #50, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:49:00.356039 [queue=0] packet #1, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:49:00.363055 [queue=0] packet #6, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:49:00.369054 [queue=0] packet #16, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:49:00.388083 [queue=0] packet #51, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:49:00.388083 [queue=0] packet #51, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:49:01.354483 [queue=0] packet #2, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:49:01.358487 [queue=0] packet #7, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:49:01.366519 [queue=0] packet #16, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:49:01.388528 [queue=0] packet #52, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:49:01.388528 [queue=0] packet #52, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:49:02.357897 [queue=0] packet #3, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:49:02.387938 [queue=0] packet #48, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:49:02.389940 [queue=0] packet #53, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
19:49:02.389940 [queue=0] packet #53, 127.0.0.1:8080 -> 127.0.0.1:8081, sz=0 is delivered
19:49:03.358380 [queue=0] packet #4, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=19 is delivered
19:49:03.390422 [queue=0] packet #54, 127.0.0.1:8081 -> 127.0.0.1:8080, sz=20 is delivered
